6,30,2010,56900,13609,0,28,-88,6,30,2010,56900,13609,100,19,-94
7,1,2010,56800,10558,0,28,-88,7,1,2010,56800,10558,100,19,-94
7,2,2010,56700,11065,0,28,-88,7,2,2010,56700,11065,100,19,-94
7,3,2010,56600,11698,0,28,-88,7,3,2010,56600,11698,100,19,-94
7,4,2010,56500,10429,0,28,-88,7,4,2010,56500,10429,100,19,-94
7,5,2010,56400,11688,0,28,-88,7,5,2010,56400,11688,100,19,-94
7,6,2010,56300,11655,0,28,-88,7,6,2010,56300,11655,100,19,-94
7,7,2010,56100,11770,0,28,-88,7,7,2010,56100,11770,100,19,-94
7,8,2010,56000,11512,0,28,-88,7,8,2010,56000,11512,100,19,-94
7,9,2010,55900,10748,0,28,-88,7,9,2010,55900,10748,100,19,-94
7,10,2010,55800,13210,0,28,-88,7,10,2010,55800,13210,100,19,-94
7,11,2010,55700,15420,0,28,-88,7,11,2010,55700,15420,100,19,-94
7,12,2010,53000,14038,0,28,-88,7,12,2010,53000,14038,100,19,-94
7,13,2010,52900,13997,0,28,-88,7,13,2010,52900,13997,100,19,-94
7,14,2010,52700,13746,0,28,-88,7,14,2010,52700,13746,100,19,-94
7,15,2010,0,8391,0,28,-88,7,15,2010,0,8391,100,19,-94
7,16,2010,0,0,0,28,-88,7,16,2010,0,0,100,19,-94
7,17,2010,0,0,0,28,-88,7,17,2010,0,0,100,19,-94
7,18,2010,0,0,0,28,-88,7,18,2010,0,0,100,19,-94
7,19,2010,0,0,0,28,-88,7,19,2010,0,0,100,19,-94
7,20,2010,0,0,0,28,-88,7,20,2010,0,0,100,19,-94
7,21,2010,0,0,0,28,-88,7,21,2010,0,0,100,19,-94
7,22,2010,0,0,0,28,-88,7,22,2010,0,0,100,19,-94
7,23,2010,0,0,0,28,-88,7,23,2010,0,0,100,19,-94
7,24,2010,0,0,0,28,-88,7,24,2010,0,0,100,19,-94
7,25,2010,0,0,0,28,-88,7,25,2010,0,0,100,19,-94
7,26,2010,0,0,0,28,-88,7,26,2010,0,0,100,19,-94
7,27,2010,0,0,0,28,-88,7,27,2010,0,0,100,19,-94
7,28,2010,0,0,0,28,-88,7,28,2010,0,0,100,19,-94
7,29,2010,0,0,0,28,-88,7,29,2010,0,0,100,19,-94
7,30,2010,0,0,0,28,-88,7,30,2010,0,0,100,19,-94
7,31,2010,0,0,0,28,-88,7,31,2010,0,0,100,19,-94
8,1,2010,0,0,0,28,-88,8,1,2010,0,0,100,19,-94
8,2,2010,0,0,0,28,-88,8,2,2010,0,0,100,19,-94
8,3,2010,0,0,0,28,-88,8,3,2010,0,0,100,19,-94
8,4,2010,0,0,0,28,-88,8,4,2010,0,0,100,19,-94
8,5,2010,0,0,0,28,-88,8,5,2010,0,0,100,19,-94
8,6,2010,0,0,0,28,-88,8,6,2010,0,0,100,19,-94
8,7,2010,0,0,0,28,-88,8,7,2010,0,0,100,19,-94
8,8,2010,0,0,0,28,-88,8,8,2010,0,0,100,19,-94
8,9,2010,0,0,0,28,-88,8,9,2010,0,0,100,19,-94
8,10,2010,0,0,0,28,-88,8,10,2010,0,0,100,19,-94
8,11,2010,0,0,0,28,-88,8,11,2010,0,0,100,19,-94
8,12,2010,0,0,0,28,-88,8,12,2010,0,0,100,19,-94
8,13,2010,0,0,0,28,-88,8,13,2010,0,0,100,19,-94
8,14,2010,0,0,0,28,-88,8,14,2010,0,0,100,19,-94
8,15,2010,0,0,0,28,-88,8,15,2010,0,0,100,19,-94
8,16,2010,0,0,0,28,-88,8,16,2010,0,0,100,19,-94
8,17,2010,0,0,0,28,-88,8,17,2010,0,0,100,19,-94
8,18,2010,0,0,0,28,-88,8,18,2010,0,0,100,19,-94
8,19,2010,0,0,0,28,-88,8,19,2010,0,0,100,19,-94
8,20,2010,0,0,0,28,-88,8,20,2010,0,0,100,19,-94
